"public_food_id_compound_id_name","compound_SMILES"
"FOOD00012 _ FDB003636 _ Manganese","[Mn]"
"FOOD00012 _ FDB003713 _ Silicon","[SiH4]"
"FOOD00012 _ FDB003717 _ Sulfur","[S]"
"FOOD00012 _ FDB003729 _ Zinc","[Zn]"
"FOOD00012 _ FDB008114 _ Malic acid","OC(CC(O)=O)C(O)=O"
"FOOD00012 _ FDB008297 _ Acetaldehyde","CC=O"
"FOOD00012 _ FDB008322 _ Pantothenic acid","CC(C)(CO)C(O)C(=O)NCCC(O)=O"
"FOOD00012 _ FDB011824 _ beta-D-Glucopyranose","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O"
"FOOD00012 _ FDB011856 _ L-Histidine","NC(CC1=CN=CN1)C(O)=O"
"FOOD00012 _ FDB011999 _ L-Threonine","C[C@@H](O)[C@H](N)C(O)=O"
"FOOD00012 _ FDB012158 _ Serotonin","NCCC1=CNC2=CC=C(O)C=C12"
"FOOD00012 _ FDB012160 _ Riboflavine","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"
"FOOD00012 _ FDB012164 _ Levoglutamide","NC(CCC(O)=N)C(O)=O"
"FOOD00012 _ FDB012210 _ Ethyl acrylate","CCOC(=O)C=C"
"FOOD00012 _ FDB012373 _ Chavicol","OC1=CC=C(CC=C)C=C1"
"FOOD00012 _ FDB012397 _ L-Isoleucine","CCC(C)C(N)C(O)=O"
"FOOD00012 _ FDB012462 _ alpha-Linolenic acid","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O"
"FOOD00012 _ FDB012528 _ D-Fructose","OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O"
"FOOD00012 _ FDB012535 _ L-Glutamic acid","N[C@@H](CCC(O)=O)C(O)=O"
"FOOD00012 _ FDB012563 _ L-Cystine","NC(CSSCC(N)C(O)=O)C(O)=O"
"FOOD00012 _ FDB012567 _ L-Aspartic acid","N[C@@H](CC(O)=O)C(O)=O"
"FOOD00012 _ FDB012683 _ L-Methionine","CSCC[C@H](N)C(O)=O"
"FOOD00012 _ FDB012739 _ L-Serine","NC(CO)C(O)=O"
"FOOD00012 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid","[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O"
"FOOD00012 _ FDB012801 _ Ferulic acid","[H]\C(=C(/[H])C1=CC(OC)=C(O)C=C1)C(O)=O"
"FOOD00012 _ FDB012858 _ Oleic acid","CCCCCCCC\C=C\CCCCCCCC(O)=O"
"FOOD00012 _ FDB014613 _ beta-Carotene","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C"
"FOOD00012 _ FDB016249 _ Chlorine","ClCl"
"FOOD00012 _ FDB016251 _ Iron","[Fe]"
"FOOD00012 _ FDB021453 _ Pectic acid","O[C@H]1O[C@@H]([C@H](O[C@H]2O[C@@H]([C@H](O[C@H]3O[C@@H]([C@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H](O)[C@H]2O)C(O)=O)[C@H](O)[C@H]1O)C(O)=O"
"FOOD00013 _ FDB000474 _ L-Lysine","NCCCC[C@H](N)C(O)=O"
"FOOD00013 _ FDB000565 _ alpha-Tocopherol","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C"
"FOOD00013 _ FDB001014 _ Nicotinic acid","OC(=O)C1=CN=CC=C1"
"FOOD00013 _ FDB001224 _ L-Ascorbic acid","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"FOOD00013 _ FDB001946 _ L-Leucine","CC(C)CC(N)C(O)=O"
"FOOD00013 _ FDB002257 _ Arginine","N[C@@H](CCCNC(N)=N)C(O)=O"
"FOOD00013 _ FDB002649 _ Dillapiol","COC1=C(OC)C(CC=C)=CC2=C1OCO2"
"FOOD00013 _ FDB002793 _ Anethole","COC1=CC=C(\C=C/C)C=C1"
"FOOD00013 _ FDB003010 _ Dodecanoic acid","CCCCCCCCCCCC(O)=O"
"FOOD00013 _ FDB003513 _ Calcium","[Ca++]"
"FOOD00013 _ FDB003516 _ Chromium","[Cr]"
"FOOD00013 _ FDB003520 _ Phosphorus","P"
"FOOD00013 _ FDB003521 _ Potassium","[K+]"
"FOOD00013 _ FDB003523 _ Sodium","[Na]"
"FOOD00013 _ FDB003570 _ Aluminum","[AlH3]"
"FOOD00013 _ FDB003575 _ Boron","B"
"FOOD00013 _ FDB003581 _ Cobalt","[Co]"
"FOOD00013 _ FDB003582 _ Copper","[Cu]"
"FOOD00013 _ FDB003636 _ Manganese","[Mn]"
"FOOD00013 _ FDB003713 _ Silicon","[SiH4]"
"FOOD00013 _ FDB003717 _ Sulfur","[S]"
"FOOD00013 _ FDB003729 _ Zinc","[Zn]"
"FOOD00013 _ FDB003763 _ Arsenic","[AsH3]"
"FOOD00013 _ FDB003766 _ Cadmium","[Cd]"
"FOOD00013 _ FDB003777 _ Lead","[Pb++]"
"FOOD00013 _ FDB003780 _ Mercury","[Hg]"
"FOOD00013 _ FDB003875 _ trans-Carveol","CC(=C)C1CC=C(C)C(O)C1"
"FOOD00013 _ FDB011856 _ L-Histidine","NC(CC1=CN=CN1)C(O)=O"
"FOOD00013 _ FDB011999 _ L-Threonine","C[C@@H](O)[C@H](N)C(O)=O"
"FOOD00013 _ FDB012160 _ Riboflavine","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"
"FOOD00013 _ FDB012397 _ L-Isoleucine","CCC(C)C(N)C(O)=O"
"FOOD00013 _ FDB012462 _ alpha-Linolenic acid","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O"
"FOOD00013 _ FDB012683 _ L-Methionine","CSCC[C@H](N)C(O)=O"
"FOOD00013 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid","[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O"
"FOOD00013 _ FDB012768 _ Decanal","CCCCCCCCCC=O"
"FOOD00013 _ FDB013400 _ Selenium","[Se]"
"FOOD00013 _ FDB013444 _ Nickel","[Ni]"
"FOOD00013 _ FDB013792 _ Geraniol","CC(C)=CCC\C(C)=C\CO"
"FOOD00013 _ FDB014297 _ (R)-Limonene","CC(=C)[C@@H]1CCC(C)=CC1"
"FOOD00013 _ FDB014577 _ beta-Elemene","CC(=C)[C@@H]1CC[C@@](C)(C=C)[C@@H](C1)C(C)=C"
"FOOD00013 _ FDB014599 _ (S)-Carvone","CC(=C)[C@@H]1CC=C(C)C(=O)C1"
"FOOD00013 _ FDB014601 _ p-Menth-1-en-4-ol","CC(C)C1(O)CCC(C)=CC1"
"FOOD00013 _ FDB014917 _ beta-Phellandrene","CC(C)C1CCC(=C)C=C1"
"FOOD00013 _ FDB015968 _ gamma-Terpinene","CC(C)C1=CCC(C)=CC1"
"FOOD00013 _ FDB016251 _ Iron","[Fe]"
"FOOD00013 _ FDB017358 _ 1-Isopropyl-4-methylbenzene","CC(C)C1=CC=C(C)C=C1"
"FOOD00013 _ FDB017400 _ 7-Methyl-3-methylene-1,6-octadiene","CC(C)=CCCC(=C)C=C"
"FOOD00014 _ FDB000474 _ L-Lysine","NCCCC[C@H](N)C(O)=O"
"FOOD00014 _ FDB000574 _ Pyridoxine","CC1=C(O)C(CO)=C(CO)C=N1"
"FOOD00014 _ FDB001014 _ Nicotinic acid","OC(=O)C1=CN=CC=C1"
"FOOD00014 _ FDB001224 _ L-Ascorbic acid","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"FOOD00014 _ FDB002193 _ Anonaine","C1OC2=C(O1)C1=C3C(CC4=CC=CC=C14)NCCC3=C2"
"FOOD00014 _ FDB002250 _ L-Tryptophan","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O"
"FOOD00014 _ FDB003513 _ Calcium","[Ca++]"
"FOOD00014 _ FDB003520 _ Phosphorus","P"
"FOOD00014 _ FDB003521 _ Potassium","[K+]"
"FOOD00014 _ FDB003523 _ Sodium","[Na]"
"FOOD00014 _ FDB008322 _ Pantothenic acid","CC(C)(CO)C(O)C(=O)NCCC(O)=O"
"FOOD00014 _ FDB012160 _ Riboflavine","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"
"FOOD00014 _ FDB012683 _ L-Methionine","CSCC[C@H](N)C(O)=O"
"FOOD00014 _ FDB014613 _ beta-Carotene","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C"
"FOOD00014 _ FDB016251 _ Iron","[Fe]"
"FOOD00015 _ FDB000446 _ L-Tyrosine","NC(CC1=CC=C(O)C=C1)C(O)=O"
